date,sales
2013-01-01,700.0
2013-01-02,202020.0
2013-01-03,144878.0
2013-01-04,135754.0
2013-01-05,188356.0
2013-01-06,207297.0
2013-01-07,133189.0
2013-01-08,133290.0
2013-01-09,115871.0
2013-01-10,96200.0
2013-01-11,103280.0
2013-01-12,151025.0
2013-01-13,183099.0
2013-01-14,112128.0
2013-01-15,114578.0
2013-01-16,124276.0
2013-01-17,103443.0
2013-01-18,106982.0
2013-01-19,165079.0
2013-01-20,180666.0
2013-01-21,122481.0
2013-01-22,123066.0
2013-01-23,112342.0
2013-01-24,96882.0
2013-01-25,107648.0
2013-01-26,159843.0
2013-01-27,172363.0
2013-01-28,115001.0
2013-01-29,104878.0
2013-01-30,109595.0
2013-01-31,106030.0
2013-02-01,143725.0
2013-02-02,209880.0
2013-02-03,200916.0
2013-02-04,145431.0
2013-02-05,136560.0
2013-02-06,130045.0
2013-02-07,115368.0
2013-02-08,135989.0
2013-02-09,165328.0
2013-02-10,116520.0
2013-02-11,106539.0
2013-02-12,123067.0
2013-02-13,132882.0
2013-02-14,139200.0
2013-02-15,125907.0
2013-02-16,199339.0
2013-02-17,164343.0
2013-02-18,146894.0
2013-02-19,122032.0
2013-02-20,129748.0
2013-02-21,107321.0
2013-02-22,109427.0
2013-02-23,165049.0
2013-02-24,185535.0
2013-02-25,124754.0
2013-02-26,109465.0
2013-02-27,116218.0
2013-02-28,111918.0
2013-03-01,152910.0
2013-03-02,228251.0
2013-03-03,236046.0
2013-03-04,161101.0
2013-03-05,137837.0
2013-03-06,138260.0
2013-03-07,116964.0
2013-03-08,126782.0
2013-03-09,179740.0
2013-03-10,188374.0
2013-03-11,129310.0
2013-03-12,110553.0
2013-03-13,113734.0
2013-03-14,97180.0
2013-03-15,121756.0
2013-03-16,196087.0
2013-03-17,213852.0
2013-03-18,139653.0
2013-03-19,122446.0
2013-03-20,134763.0
2013-03-21,110724.0
2013-03-22,118742.0
2013-03-23,181659.0
2013-03-24,187229.0
2013-03-25,131191.0
2013-03-26,115064.0
2013-03-27,131166.0
2013-03-28,142282.0
2013-03-29,138065.0
2013-03-30,184463.0
2013-03-31,193663.0
2013-04-01,185526.0
2013-04-02,162516.0
2013-04-03,158484.0
2013-04-04,128403.0
2013-04-05,130952.0
2013-04-06,207627.0
2013-04-07,217132.0
2013-04-08,148646.0
2013-04-09,128563.0
2013-04-10,128249.0
2013-04-11,133566.0
2013-04-12,119148.0
2013-04-13,182298.0
2013-04-14,199989.0
2013-04-15,141263.0
2013-04-16,139074.0
2013-04-17,144229.0
2013-04-18,120743.0
2013-04-19,120012.0
2013-04-20,186817.0
2013-04-21,203746.0
2013-04-22,138701.0
2013-04-23,126857.0
2013-04-24,125819.0
2013-04-25,108821.0
2013-04-26,117492.0
2013-04-27,180046.0
2013-04-28,197889.0
