date,sales
2016-01-01,3247.0
2016-01-02,309417.194
2016-01-03,347681.912
2016-01-04,272978.806
2016-01-05,234212.722
2016-01-06,220632.777
2016-01-07,183343.476
2016-01-08,194604.367
2016-01-09,277982.051
2016-01-10,310926.818
2016-01-11,201072.649
2016-01-12,181032.288
2016-01-13,174299.275
2016-01-14,156517.984
2016-01-15,179900.482
2016-01-16,262108.866
2016-01-17,296780.623
2016-01-18,199216.618
2016-01-19,176148.616
2016-01-20,202818.498
2016-01-21,154029.367
2016-01-22,171250.134
2016-01-23,250648.18099999998
2016-01-24,269822.866
2016-01-25,183926.533
2016-01-26,167851.858
2016-01-27,167202.089
2016-01-28,147342.729
2016-01-29,182896.50400000002
2016-01-30,282682.646
2016-01-31,316827.105
2016-02-01,262715.744
2016-02-02,226869.889
2016-02-03,218438.255
2016-02-04,189314.288
2016-02-05,212188.512
2016-02-06,270244.338
2016-02-07,196975.541
2016-02-08,179694.609
2016-02-09,213773.579
2016-02-10,221570.756
2016-02-11,194112.377
2016-02-12,203111.89
2016-02-13,253712.534
2016-02-14,274389.572
2016-02-15,216906.481
2016-02-16,208609.541
2016-02-17,197609.707
2016-02-18,164390.699
2016-02-19,184538.157
2016-02-20,251560.286
2016-02-21,284126.734
2016-02-22,204008.43
2016-02-23,186082.85
2016-02-24,182948.03
2016-02-25,162385.525
2016-02-26,175730.956
2016-02-27,262987.933
2016-02-28,288013.308
2016-02-29,215583.564
2016-03-01,281908.06
2016-03-02,261201.044
2016-03-03,210149.586
2016-03-04,217479.873
2016-03-05,310035.22
2016-03-06,321403.911
2016-03-07,227335.73
2016-03-08,191799.819
2016-03-09,189025.518
2016-03-10,170078.721
2016-03-11,185561.196
2016-03-12,260840.698
2016-03-13,277080.813
2016-03-14,195250.187
2016-03-15,194401.932
2016-03-16,203217.46
2016-03-17,171098.721
2016-03-18,186072.919
2016-03-19,258009.331
2016-03-20,268138.842
2016-03-21,205495.301
2016-03-22,180395.586
2016-03-23,201357.405
2016-03-24,193502.016
2016-03-25,175260.391
2016-03-26,228098.999
2016-03-27,236363.068
2016-03-28,187080.173
2016-03-29,170623.586
2016-03-30,177508.797
2016-03-31,181818.285
